id,number,part,doc_type,edition_year,amendments,amendments_source,amendments_note,amendments_read_on,title_en,title_de,title_de_source,title_de_note,status,replaces,replaced_by,family,layer,layer_reason,isms_relation,supports_clauses,supports_controls,test,test_via,confirmation,source_1,source_2,read_on
iso-iec-11770-2,11770,2,is,2018,none,https://www.evs.ee/en/iso-iec-11770-2-2018,,2026-08-05,IT Security techniques - Key management - Part 2: Mechanisms using symmetric techniques,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,Symmetric key management mechanisms are chosen at implementation time and not on the learning route.,controls,,,A B,,confirmed,iso.org catalogue (standard/73207) via web search,"Genorma (published 2018-09-28, confirmed 2024-05-03, replaces withdrawn 11770-2:2008)",2026-08-04
iso-iec-11770-3,11770,3,is,2021,amd-1:2025,https://www.evs.ee/en/iso-iec-11770-3-2021,,2026-08-05,Information security - Key management - Part 3: Mechanisms using asymmetric techniques,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,"Asymmetric key management mechanisms are reached from a design question, not from the ISMS requirements.",controls,,,A B,,confirmed,iso.org catalogue (standard/82709) via web search,"Genorma (published 2021-10-22, supersedes 11770-3:2015 with Amd 1:2017/Cor 1:2016, Amd 1:2025 published)",2026-08-04
iso-iec-11770-4,11770,4,is,2017,amd-1:2019 amd-2:2021,https://www.evs.ee/en/iso-iec-11770-4-2017,,2026-08-05,Key management - Part 4: Mechanisms based on weak secrets,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,Key establishment from weak secrets is a specialist question inside key management.,controls,,,A B,,confirmed,ANSI webstore (ISOIEC117702017),IEC webstore (publication 62057),2026-08-04
iso-iec-11770-5,11770,5,is,2020,none,https://www.evs.ee/en/iso-iec-11770-5-2020,,2026-08-05,Key management - Part 5: Group key management,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,Group key management is reached only where a design has groups to key.,controls,,,A B,,confirmed,iso.org catalogue (standard/75295),IEC webstore (publication 68017),2026-08-04
iso-iec-11770-6,11770,6,is,2016,none,https://www.evs.ee/en/iso-iec-11770-6-2016,,2026-08-05,Key management - Part 6: Key derivation,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,Key derivation is an implementation detail met inside the deep end of cryptography.,requirements controls,,,A B,,confirmed,iso.org catalogue (standard/65275),IEC webstore (publication 26024),2026-08-04
iso-iec-11770-7,11770,7,is,2021,none,https://www.evs.ee/en/iso-iec-11770-7-2021,,2026-08-05,Key management - Part 7: Cross-domain password-based authenticated key exchange,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,Cross-domain password-based key exchange is as specialist as key management gets and is looked up from a design.,controls,,,A B,,confirmed,iso.org catalogue (standard/80097),SIS,2026-08-04
iso-iec-11770-8,11770,8,is,,none,,"No edition is recorded for this entry, so there is no edition an amendment could attach to.",,Key management - Part 8: Password-based key derivation,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",under_development,,,cryptography,reference,"It has no published edition yet, so it is a look-up on what is coming rather than something a learner can read.",controls,,,A B,,confirmed,iso.org catalogue (standard/87940),"genorma.com project tracker (iso:proj:87940, ISO/IEC FDIS 11770-8, stage 50.00)",2026-08-04
iso-iec-13888-2,13888,2,is,2010,cor-1:2012,https://www.evs.ee/en/iso-iec-13888-2-2010,,2026-08-05,Non-repudiation - Part 2: Mechanisms using symmetric techniques,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,Non-repudiation mechanisms with symmetric techniques are chosen inside an implementation and not on the route.,controls,,,B,,confirmed,iso.org catalogue (standard/44736),"evs.ee product page (iso-iec-13888-2-2010, valid, published 2010-12-01)",2026-08-04
iso-iec-13888-3,13888,3,is,2020,none,https://www.evs.ee/en/iso-iec-13888-3-2020,,2026-08-05,Non-repudiation - Part 3: Mechanisms using asymmetric techniques,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,"The asymmetric counterpart of the same mechanism question, reached the same way.",controls,,,B,,confirmed,iso.org catalogue (standard/76154),"evs.ee product page (iso-iec-13888-3-2020, valid, published 2020-09-04)",2026-08-04
iso-iec-14888-1,14888,1,is,2008,none,https://www.evs.ee/en/iso-iec-14888-1-2008,,2026-08-05,Digital signatures with appendix - Part 1: General,,,"The only DIN document for this designation is DIN ISO/IEC 14888-1:2000-07, which adopts a different edition.",published,,,cryptography,depth,It opens the digital signature parts and is met when one of the mechanisms has to be chosen.,controls,,,B,,confirmed,iso.org catalogue (standard/44226),VDE Verlag,2026-08-04
iso-iec-14888-2,14888,2,is,2008,cor-1:2015,https://www.evs.ee/en/iso-iec-14888-2-2008,,2026-08-05,Digital signatures with appendix - Part 2: Integer factorization based mechanisms,,,"The only DIN document for this designation is DIN ISO/IEC 14888-2:2000-07, which adopts a different edition.",published,,,cryptography,depth,"One family of signature mechanisms, reached only from a concrete design.",controls,,,B,,confirmed,iso.org catalogue (standard/44227),ANSI webstore,2026-08-04
iso-iec-14888-3,14888,3,is,2018,none,https://www.evs.ee/en/iso-iec-14888-3-2018,,2026-08-05,Digital signatures with appendix - Part 3: Discrete logarithm based mechanisms,,,"The only DIN document for this designation is DIN ISO/IEC 14888-3:2000-07, which adopts a different edition.",published,,,cryptography,depth,The discrete logarithm based signature mechanisms are an implementation choice below the learning route.,controls,,,B,,confirmed,iso.org catalogue (standard/76382),BSI Knowledge (BS ISO/IEC 14888-3:2018),2026-08-04
iso-iec-14888-4,14888,4,is,2024,none,https://www.evs.ee/en/iso-iec-14888-4-2024,,2026-08-05,Digital signatures with appendix - Part 4: Stateful hash-based mechanisms,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,Stateful hash-based signatures are a specialist choice with consequences a design has to weigh.,requirements controls,,,B,,confirmed,iso.org catalogue (standard/80492),"evs.ee product page (iso-iec-14888-4-2024, valid, published 2024-06-24, title 'Information security - Digital signatures with appendix - Part 4: Stateful hash-based mechanisms')",2026-08-04
iso-iec-14888-5,14888,5,is,,none,,"No edition is recorded for this entry, so there is no edition an amendment could attach to.",,Digital signatures with appendix - Part 5: Lattice-based mechanisms,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",under_development,,,cryptography,reference,"Lattice-based signature mechanisms have no published edition yet, so the entry is a look-up on work in progress.",controls,,,B,,confirmed,iso.org catalogue (standard/92017),"genorma.com project tracker (iso:proj:92017, ISO/IEC AWI 14888-5, stage 20.00)",2026-08-04
iso-iec-14888-6,14888,6,is,,none,,"No edition is recorded for this entry, so there is no edition an amendment could attach to.",,Digital signatures with appendix - Part 6: Stateless hash-based mechanisms,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",under_development,,,cryptography,reference,"Stateless hash-based signature mechanisms have no published edition yet, so the entry marks the place rather than offering something to read.",controls,,,B,,confirmed,iso.org catalogue (standard/92016),"genorma.com project tracker (iso:proj:92016, ISO/IEC CD 14888-6, stage 30.20)",2026-08-04
iso-iec-18032,18032,,is,2020,none,https://www.evs.ee/en/iso-iec-18032-2020,,2026-08-05,Information security - Prime number generation,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,Generating prime numbers is an implementation question inside cryptography and is met nowhere earlier.,controls,,,A B,,unconfirmed,"evs.ee webshop search (ISO/IEC 18032:2020 'Information security - Prime number generation', Valid from 02.12.2020)",,2026-08-04
iso-iec-18033-1,18033,1,is,2021,none,https://www.evs.ee/en/iso-iec-18033-1-2021,,2026-08-05,Information security - Encryption algorithms - Part 1: General,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,It is the way into the encryption algorithm parts and is reached from a design question.,controls,,,A B,,confirmed,iso.org catalogue (standard/76156) via web search,SIS (SS-ISO/IEC 18033-1:2023 IDT adoption),2026-08-04
iso-iec-18033-2,18033,2,is,2006,amd-1:2017 amd-2:2026,https://www.evs.ee/en/iso-iec-18033-2-2006,,2026-08-05,Information technology - Security techniques - Encryption algorithms - Part 2: Asymmetric ciphers,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,"Asymmetric ciphers are selected at implementation time, past the step where controls are decided.",controls,,,A B,,confirmed,iso.org catalogue (standard/37971),en-standard.eu,2026-08-04
iso-iec-18033-3,18033,3,is,2010,amd-1:2021,https://www.evs.ee/en/iso-iec-18033-3-2010,,2026-08-05,Information technology - Security techniques - Encryption algorithms - Part 3: Block ciphers,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,"A block cipher is chosen inside an implementation, which is why the schema uses this document as its own example of depth.",controls,,,A B,,confirmed,iso.org catalogue (standard/54531) via web search,"ANSI webstore (isoiec180332010, plus INCITS R2017 adoption)",2026-08-04
iso-iec-18033-4,18033,4,is,2011,amd-1:2020,https://www.evs.ee/en/iso-iec-18033-4-2011,,2026-08-05,Information technology - Security techniques - Encryption algorithms - Part 4: Stream ciphers,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,Stream ciphers are the same kind of implementation choice and are met the same way.,controls,,,A B,,confirmed,iso.org catalogue (standard/54532; Amd 1 standard/77982) via web search,IEC webstore publication 67447 (Amd 1:2020 ZUC),2026-08-04
iso-iec-18033-5,18033,5,is,2015,amd-1:2021,https://www.evs.ee/en/iso-iec-18033-5-2015,,2026-08-05,Information technology - Security techniques - Encryption algorithms - Part 5: Identity-based ciphers,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,Identity-based ciphers are a specialist branch reached only from a design that needs them.,controls,,,A B,,confirmed,iso.org catalogue (standard/59948; Amd 1 standard/78751) via web search,IEC webstore publication 68629 (Amd 1:2021 SM9),2026-08-04
iso-iec-18033-6,18033,6,is,2019,none,https://www.evs.ee/en/iso-iec-18033-6-2019,,2026-08-05,IT Security techniques - Encryption algorithms - Part 6: Homomorphic encryption,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,Homomorphic encryption is a specialist branch met from a design question and not from the ISMS requirements.,controls,,,A B,,confirmed,iso.org catalogue (standard/67740) via web search,"Genorma (published 2019-05-02, standard confirmed 2024-10-28)",2026-08-04
iso-iec-18033-7,18033,7,is,2022,none,https://www.evs.ee/en/iso-iec-18033-7-2022,,2026-08-05,Information security - Encryption algorithms - Part 7: Tweakable block ciphers,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,Tweakable block ciphers are a refinement of the block cipher choice and sit at the same depth.,controls,,,A B,,confirmed,iso.org catalogue (standard/80505) via web search,"aggregated vendor-catalogue search results (DuckDuckGo HTML: multiple national/reseller catalogue listings, published 2022, five algorithms specified)",2026-08-04
iso-iec-19772,19772,,is,2020,none,https://www.evs.ee/en/iso-iec-19772-2020,,2026-08-05,Authenticated encryption,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,Authenticated encryption is picked inside an implementation and is not a station on the route.,controls,,,B,,confirmed,buystandardsonline.co.uk ICS_35_030-p5 (BS ISO/IEC 19772:2020),iso.org catalogue (standard/81550) via web search,2026-08-04
iso-iec-27099,27099,,is,2022,none,https://www.evs.ee/en/iso-iec-27099-2022,,2026-08-05,Public key infrastructure - Practices and policy framework,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,Running a public key infrastructure is a deep subject an organisation reaches only after the core is standing.,requirements,,,A B,,unconfirmed,iso27001security.com /standards,,2026-08-04
iso-iec-29192-1,29192,1,is,2012,amd-1:2025,https://www.evs.ee/en/iso-iec-29192-1-2012,,2026-08-05,Lightweight cryptography - Part 1: General,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,It opens the lightweight cryptography parts and is met where constrained devices force that question.,requirements controls sector,,,B,,confirmed,ISO OBP,"evs.ee product page (iso-iec-29192-1-2012, valid, published 2012-05-29)",2026-08-04
iso-iec-29192-2,29192,2,is,2019,none,https://www.evs.ee/en/iso-iec-29192-2-2019,,2026-08-05,Lightweight cryptography - Part 2: Block ciphers,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,Lightweight block ciphers are reached only from a design with constrained devices in it.,controls,,,B,,confirmed,iso.org catalogue (standard/78477),"evs.ee product page (iso-iec-29192-2-2019, valid, published 2019-11-15, title 'Information security - Lightweight cryptography - Part 2: Block ciphers')",2026-08-04
iso-iec-29192-3,29192,3,is,2012,none,https://www.evs.ee/en/iso-iec-29192-3-2012,,2026-08-05,Lightweight cryptography - Part 3: Stream ciphers,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,"Lightweight stream ciphers are reached the same way, from the device constraint and not from the ISMS.",controls,,,B,,confirmed,ANSI webstore,"evs.ee product page (iso-iec-29192-3-2012, valid, published 2012-09-28)",2026-08-04
iso-iec-29192-4,29192,4,is,2013,amd-1:2016,https://www.evs.ee/en/iso-iec-29192-4-2013,,2026-08-05,Lightweight cryptography - Part 4: Mechanisms using asymmetric techniques,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,Lightweight asymmetric mechanisms are a specialist choice inside the same constraint.,controls,,,B,,confirmed,iso.org catalogue (standard/56427),"evs.ee product page (iso-iec-29192-4-2013, valid, published 2013-05-22, Amd 1 effective 2016-01-27)",2026-08-04
iso-iec-29192-5,29192,5,is,2016,none,https://www.evs.ee/en/iso-iec-29192-5-2016,,2026-08-05,Lightweight cryptography - Part 5: Hash-functions,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,Lightweight hash functions are an implementation choice met at the same depth.,controls,,,B,,confirmed,iso.org catalogue (standard/67173),"evs.ee product page (iso-iec-29192-5-2016, valid, published 2016-07-21)",2026-08-04
iso-iec-29192-8,29192,8,is,2022,none,https://www.evs.ee/en/iso-iec-29192-8-2022,,2026-08-05,Lightweight cryptography - Part 8: Authenticated encryption,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,Lightweight authenticated encryption completes the same set and is reached the same way.,controls,,,B,,confirmed,iso.org catalogue (standard/80114),"evs.ee product page (iso-iec-29192-8-2022, valid, published 2022-09-14)",2026-08-04
